"";"title";"url";"description";"lng";"lat";"city";"street";"zip";"date_start";"date_end";"price";"time_start";"time_end";"organizer"
"29";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17575";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"30";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Valentinskarten- OA-TREFFEN, 20.00 - 22.00Aktiventreff";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17576";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"31";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Traumfänger- BÜROTAG, ab 13.00 Uhrintern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17577";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"32";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17580";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"33";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17581";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"34";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17582";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"35";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Flatter-Vögelchen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17583";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"36";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Bilder mit Fingerfarben";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17584";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"37";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern- ELTERNABEND 20.00 - 22.00 UhrKindertagesstätte";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17587";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"38";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17588";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
