"date_start","date_end","time_start","time_end","title","description","price","city","street","zip","organizer","lat","lng","url"
2018-06-24,2018-06-24,11:00:00,NA,"Frühschoppenmit musikalischer Untermalung der Big",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-26,2018-06-26,16:00:00,NA,"Grillen der musischen Gruppen (iomD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-28,2018-06-28,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-02,2018-07-02,20:00:00,NA,"Premiere Theateraufführung ""Isola"" (iomD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-03,2018-07-03,20:00:00,NA,"-Theateraufführung ""Isola"" (iomD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-06,2018-07-06,18:00:00,NA,"Theateraufführung ""Isola"" (iomD) ",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-07,2018-07-07,18:00:00,NA,"Derniere Theateraufführung ""Isola"" (iomD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-14,2018-07-14,NA,NA,"Ende der Vorlesungszeit Sommersemester ",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-27,2018-07-27,20:00:00,NA,"Abkonvent (ho)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-07-28,2018-07-28,20:00:00,NA,"Abkneipe (o)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-09-14,2018-09-14,NA,NA,"SV-Theaterwochenendebei e.v. AMV Fridericiana Mar",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-10-15,2018-10-15,NA,NA,"Beginn der Vorlesungszeit Wintersemester",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-11-16,2018-11-16,NA,NA,"SV-Vertretertag mit Musikwochenendein Sondershaus",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-01-04,2018-01-04,NA,NA,"SV-Amtsübergabe mit Tanzwochenende",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-02-09,2018-02-09,NA,NA,"Ende der Vorlesungszeit Wintersemester ",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-20,2018-06-20,20:00:00,NA,"Ladies Night","Egal ob Drama, Komödien oder Liebesfilme - in der Ladies Night zeigen wir dir Kinofilme mit Taschentuch-Alarm vor offiziellem Kinostart! Perfekt abgerundet wird die CinemaxX Ladies Night mit einem gratis Freixenet Produkt vor Filmstart, der aktuellen Ausgabe der Zeitschrift InTouch und dem passenden Rahmenprogramm. ",NA,"Wuerzburg","Veitshöchheimer Straße 5a ",97080,"Cinemaxx",49.8028517,9.9209681,"https://www.cinemaxx.de/event/ladies-night"
2018-06-24,2018-06-24,14:30:00,NA,"BRAVO Preview","CinemaxX präsentiert zusammen mit der BRAVO die neuesten Teenie-Blockbuster zum absoluten Spitzenpreis und das sogar fünf Tage vor dem offiziellen Kinostart!",NA,"Wuerzburg","Veitshöchheimer Straße 5a ",97080,"Cinemaxx",49.8028517,9.9209681,"https://www.cinemaxx.de/event/bravo-preview-de/bravo-preview"
2018-07-08,2018-07-08,14:30:00,NA,"KlexXi Sause","Dann komm zur nächsten KlexXi Sause und erlebe eine Stunde vor Filmstart jede Menge Spaß und Action im Foyer. Danach geht’s ab in den Kinosaal, wo ich dir ein ausgewähltes Kinderfilm-Highlight zeige. Das wird ein Riesenspaß für Klein und Groß!",NA,"Wuerzburg","Veitshöchheimer Straße 5a ",97080,"Cinemaxx",49.8028517,9.9209681,"https://www.cinemaxx.de/event/klexxi-sause"
2018-07-09,2018-07-09,19:30:00,NA,"Spotlight","Einmal im Monat präsentieren wir Ihnen mit Spotlight einen brandneuen, handverlesenen Film als Preview auf der großen Leinwand. Perfekt abgerundet wird unsere Filmreihe  mit einem gratis Piccolo Rot-oder Weißwein von E. & J. Gallo on top - was gibt es Schöneres, um eine Auszeit vom Alltag zu nehmen.",NA,"Wuerzburg","Veitshöchheimer Straße 5a ",97080,"Cinemaxx",49.8028517,9.9209681,"https://www.cinemaxx.de/event/spotlight"
2018-07-18,2018-07-18,20:00:00,NA,"Männerabend","Wir präsentieren dir die neuesten Actionkracher für einen Kinoabend der Superlative - teils sogar vor offiziellem Filmstart! Zur Einstimmung gibt es auf deinen perfekten Filmabend unter Männern zwei Bier zum Preis von einem. Als besonderes Highlight darfst du dich über eine aktuelle PLAYBOY-Ausgabe freuen. ",NA,"Wuerzburg","Veitshöchheimer Straße 5a ",97080,"Cinemaxx",49.8028517,9.9209681,"https://www.cinemaxx.de/event/maennerabend"
2018-07-08,2018-07-08,19:30:00,NA,"Das Wirsberg Gymnasium zu Gast im BockshornAGATHA CHRISTIE ""Und dann warn's nur noch...""",NA,"10,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=445&a=selectevent&r=spielplan"
2018-07-09,2018-07-09,19:30:00,NA,"Das Wirsberg Gymnasium zu Gast im BockshornAGATHA CHRISTIE ""Und dann warn's nur noch...""",NA,"10,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=681&a=selectevent&r=spielplan"
2018-07-12,2018-07-12,19:30:00,NA,"Das Wirsberg Gymnasium zu Gast im BockshornAGATHA CHRISTIE ""Und dann warn's nur noch...""",NA,"10,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=682&a=selectevent&r=spielplan"
2018-07-13,2018-07-13,19:30:00,NA,"Das Wirsberg Gymnasium zu Gast im BockshornAGATHA CHRISTIE ""Und dann warn's nur noch...""",NA,"10,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=683&a=selectevent&r=spielplan"
2018-09-14,2018-09-14,20:15:00,NA,"DIE FEISTENNussschüsselblues",NA,"21,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=644&a=selectevent&r=spielplan"
2018-09-15,2018-09-15,20:15:00,NA,"ANDY OSTKunstpark OST",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=645&a=selectevent&r=spielplan"
2018-09-21,2018-09-21,20:15:00,NA,"ANNETTE VON BAMBERGEs gibt ein Leben über 50 - jedenfalls für Frauen",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=646&a=selectevent&r=spielplan"
2018-09-22,2018-09-22,20:15:00,NA,"SIX PACKTschingderassabumm",NA,"22,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=647&a=selectevent&r=spielplan"
2018-09-28,2018-09-28,20:15:00,NA,"MARTIN FRANKEs kommt wie's kommt",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=648&a=selectevent&r=spielplan"
2018-09-29,2018-09-29,20:15:00,NA,"DIE BUSCHTROMMELDumpf ist Trump(f)",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=649&a=selectevent&r=spielplan"
2018-10-03,2018-10-03,20:15:00,NA,"SIMONE SOLGADas gibt Ärger",NA,"20,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=650&a=selectevent&r=spielplan"
2018-10-05,2018-10-05,20:15:00,NA,"STEPHAN BAUERVor der Ehe wollt' ich ewig leben",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=651&a=selectevent&r=spielplan"
2018-10-06,2018-10-06,20:15:00,NA,"MATHIAS TRETTERPop",NA,"20,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=652&a=selectevent&r=spielplan"
2018-10-10,2018-10-10,20:15:00,NA,"TBC - Totales Bamberger CabaretAller Unfug ist schwer",NA,"20,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=653&a=selectevent&r=spielplan"
2018-10-12,2018-10-12,20:15:00,NA,"ANNY HARTMANNNoLobby is perfect",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=654&a=selectevent&r=spielplan"
2018-10-13,2018-10-13,20:15:00,NA,"FLORIAN SCHROEDERAusnahmezustand!",NA,"22,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=655&a=selectevent&r=spielplan"
2018-10-19,2018-10-19,20:15:00,NA,"HELMUT SCHLEICHKauf, du Sau!",NA,"22,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=656&a=selectevent&r=spielplan"
2018-10-20,2018-10-20,20:15:00,NA,"SUCHTPOTENZIALESKALATIOOON!",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=657&a=selectevent&r=spielplan"
2018-10-21,2018-10-21,19:00:00,NA,"HOT & COOL20 Jahre Tango- und Klezmermusik",NA,"20,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=658&a=selectevent&r=spielplan"
2018-10-25,2018-10-25,20:30:00,NA,"Würzburger ImprotheaterfestivalInternationale Eröffnungs-Gala: Maestro™",NA,"12,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=276&a=selectevent&r=spielplan"
2018-10-26,2018-10-26,20:15:00,NA,"METZGEREI BOGGNSAGGWou issn is Hirn - live",NA,"22,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=659&a=selectevent&r=spielplan"
2018-10-27,2018-10-27,20:15:00,NA,"MATTHIAS DEUTSCHMANNWie sagen wir's dem Volk?",NA,"20,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=660&a=selectevent&r=spielplan"
2018-11-02,2018-11-02,20:15:00,NA,"RENÉ SYDOWDie Bürde des weisen Mannes",NA,"18,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=661&a=selectevent&r=spielplan"
2018-11-03,2018-11-03,20:15:00,NA,"LUISE KINSEHERMamma Mia Bavaria",NA,"20,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=662&a=selectevent&r=spielplan"
2018-11-07,2018-11-07,20:15:00,NA,"INKA MEYER & BUMILLOkabarett-new-star-festival",NA,"10,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=595&a=selectevent&r=spielplan"
2018-11-08,2018-11-08,20:15:00,NA,"TAN CAGLAR & STEFAN DANZIGERkabarett-new-star-festival",NA,"10,00 €","Wuerzburg","Oskar-Laredo-Platz 1 (vormals Veitshöchheimer Straße 5a )",97080,"Bockshorn",49.8158268,9.9102608,"http://www.bockshorn.de/spielplan.htm?t=spielplanevent&o=679&a=selectevent&r=spielplan"
